id,pn,name,googled,Eigentümer,Betreiber,unknonw,Dynastie,Quelle
,101,Reiseandenken,1,"Karin Koidl, Koidl Vergnügungsbetriebe GmbH, Stand: 2015",,FALSE,Koidl,
,103,Go-Kart Kny,1,,"Michael Kny, Margarete Kny (AET Amusement Enterprise and Trading GmbH)",FALSE,Kny,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=a0b65ce3-076f-474d-a656-b65c9739f676
,96,Joker Fliegender Teppich,1,,"Michael Kny, Margarete Kny (AET Amusement Enterprise and Trading GmbH)",FALSE,Kny,"Via Email: http://www.prater.at/Joker
; https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=a0b65ce3-076f-474d-a656-b65c9739f676"
,104a,Fun Ball,1,,,TRUE,,
,104a,Blue Planet,1,,,TRUE,,
,104b,Black Mamba,1,,Walter Pondorfer (FUN Vergnügungsbetriebe GmbH),FALSE,Pondorfer,"https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=9e3bc3d9-e16b-4ed3-adbe-934fbf104beb , Firmenbuch"
,104b,Ballwurfbude,1,,Hubert Dostal,FALSE,Dostal,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=784fb4a4-9fe0-4a66-bb40-f37f33ef5f74
,106,Fercos Biergarten,1,,,TRUE,,
,106,Big Fat Kebap,1,,,TRUE,,
,107,Wiener Rutsche,1,,Silvia Lang,FALSE,Lang,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=5d8b5e4d-5507-4777-a193-cbf4c1715422
,107,Magic Dreamland,1,,Silvia Lang,FALSE,Lang,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=5d8b5e4d-5507-4777-a193-cbf4c1715422
,108a,Wilde Maus,1,,Johann Dallinger (Johann Dallinger GmbH),FALSE,Dallinger,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=1c8f6bec-ded7-45de-8941-3b437f41294e
,108a,Paris-Stock-Autobahn,1,,Johann Dallinger (Johann Dallinger GmbH),FALSE,Dallinger,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=1c8f6bec-ded7-45de-8941-3b437f41294e
,108b,Apollo 12,1,Walter Pondorfer (FUN Vergnügungsbetriebe GmbH); Stand: 2013,Walter Pondorfer (FUN Vergnügungsbetriebe GmbH),FALSE,Pondorfer,"https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=9e3bc3d9-e16b-4ed3-adbe-934fbf104beb , Firmenbuch"
,108b,Apollo Imbiss,1,,Walter Pondorfer (FUN Vergnügungsbetriebe GmbH),FALSE,Pondorfer,"https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=9e3bc3d9-e16b-4ed3-adbe-934fbf104beb , Firmenbuch"
,108c,Super Top Dance,1,,"Elisabeth Brantusa, Karl Lang (CALAFATI Freizeitanlagen GmbH)",FALSE,Brantusa,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=26710351-2449-4597-adf6-0ed1ab21e804
,113,Wiener Hochschaubahn,1,,Hubert Pichl (Neue Wiener Hochschaubahn Kremser & Co. KG),FALSE,Pichl,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=944f3258-f9b5-4656-91c3-ef2cea4569c7
,113,Radverleih,1,,Hubert Pichl (Neue Wiener Hochschaubahn Kremser & Co. KG),FALSE,Pichl,https://firmen.wko.at/Web/DetailsKontakt.aspx?FirmaID=944f3258-f9b5-4656-91c3-ef2cea4569c7
,113,Terassenstüberl,1,,Hubert Pichl (Neue Wiener Hochschaubahn Kremser & Co. KG),FALSE,Pichl,http://www.radverleih-hochschaubahn.com/Gastronomie/
