gkz,name,nur Caritas?,Kategorie,Kinder insgesamt,Jänner: Kinder in Nachmittagsbetreuung,März: Kinder in Nachmittagsbetreuung,Differenz,Prozentuelle Änderung,Karte-Text,Telefonnummer
40403,Auerbach,Nein,keine Betreuung/Kooperation,,,,0,,Kinder besuchen den Kindergarten in Jeging.,+437747 / 5215
40408,Franking,Nein,keine Betreuung/Kooperation,,,,0,,Keine Nachmittagsbetreuung verfügbar.,+436277 / 8114
40411,Haigermoos,Nein,keine Betreuung/Kooperation,,,,0,,Nachmittagsbetreuung in Kooperation mit Franking.,+436277 / 8103
40417,Kirchberg bei Mattighofen,Nein,keine Betreuung/Kooperation,,,,0,,,+437747 / 4002
40420,Maria Schmolln,Nein,keine Betreuung/Kooperation,,0,0,0,,,+437743 / 2255
40423,Mining,Nein,keine Betreuung/Kooperation,,,,0,,,+437723 / 7055
40429,Palting,Nein,keine Betreuung/Kooperation,,,,0,,"Keine Nachmittagsbetreuung verfügbar. Tagesmutter übernimmt diese Rolle, war immer schon kostenpflichtig.",+436217 / 7124
40432,Pischelsdorf am Engelbach,Nein,keine Betreuung/Kooperation,41,0,0,0,,keine Nachmittagsbetreuung,+437742 / 7415 - 0
40433,Polling im Innkreis,Nein,keine Betreuung/Kooperation,,0,0,0,,keine Nachmittagsbetreuung,+437723 / 6505
40435,Sankt Georgen am Fillmannsbach,Nein,keine Betreuung/Kooperation,,,,0,,"kein Kindergarten, Koopearation mit Hadenberg",+437748 / 8075
40436,Sankt Johann am Walde,Nein,keine Betreuung/Kooperation,,,,0,,"Keine Nachmittagsbetreuung verfügbar
",+437743 / 8600
40440,Sankt Veit im Innkreis,Nein,keine Betreuung/Kooperation,,,,0,,Kein eigener Kindergarten - Kinder gehen in Roßbach in den Kindergarten.,+437723 / 6113
40442,Schwand im Innkreis,Nein,keine Betreuung/Kooperation,,,,0,,"Kein Kindergarten, Kinder gehen nach Handenberg",+437728 / 7010
40444,Treubach,Nein,keine Betreuung/Kooperation,,,,0,,Zu kleine Gemeinde für Nachmittagsbetreuung. Tagesmütter verfügbar.,+437724 / 8055
40445,Überackern,Nein,keine Betreuung/Kooperation,,,,0,,Nachmittagsbetreuung wird in der Gemeinde Hochburg-Ach geführt.,+437727 / 2912
40505,Haibach ob der Donau,Nein,keine Betreuung/Kooperation,,,,0,,keine Nachmittagsbetreuung,+437279 / 8235
40509,Pupping,Nein,keine Betreuung/Kooperation,,,,0,,"Kein Kindergarten, Kinder gehen in Eferding in den Kindergarten",+437272 / 2331
40512,Stroheim,Nein,keine Betreuung/Kooperation,,,,0,,Keine Nachmittagsbetreuung. Bedarfserhebung für Tagesmütter- bzw. -väter läuft,+437272 / 6255
40606,Kaltenberg,Nein,keine Betreuung/Kooperation,,,,0,,"Keine Betreuung, wurde getestet, aber kein Bedarf. Eine gemeldete Tagesmutter, aber ebenfalls kein Bedarf",+437956 / 7305
40613,Pierbach,Nein,keine Betreuung/Kooperation,,,,0,,Keine Nachmittagsbetreuung,+437267 / 8255
40616,Sandl,Nein,keine Betreuung/Kooperation,,,,0,,Keine Nachmittagsbetreuung,+437944 / 8255
40617,Sankt Leonhard bei Freistadt,Nein,keine Betreuung/Kooperation,,,,0,,Keine Nachmittagsbetreuung,+437952 / 8255
